Id,IsDeleted,CampaignId,LeadId,ContactId,Status,HasResponded,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,FirstRespondedDate,Salutation,Name,FirstName,LastName,Title,Street,City,State,PostalCode,Country,Email,Phone,Fax,MobilePhone,Description,DoNotCall,HasOptedOutOfEmail,HasOptedOutOfFax,LeadSource,CompanyOrAccount,Type,LeadOrContactId,LeadOrContactOwnerId,External_id__c,Added_Date__c
00vEc000000jeIlIAI,,701Ec00000GJDl7IAH,00QEc00000BBafDMAT,,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Mrs.,Judith Diaz,Judith,Diaz,,6634 Brett Cliffs,Kathleentown,OR,48671,US,judith.diaz@example.com,3233623825,,,,,,,Cold Call,001Ec00000GINb1IAH,Lead,00QEc00000BBafDMAT,005Ec000004oBPNIA2,Campaign_Member,2023-06-18
00vEc000000jeIqIAI,,701Ec00000GJDl7IAH,,003Ec00000Cz310IAB,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Mrs.,Cheryl Estes,Cheryl,Estes,,5284 Hays Road,Markburgh,VT,18784,US,cheryl.estes@example.com,5391320569,,,,,,,,,Contact,003Ec00000Cz310IAB,005Ec000004oBPNIA2,Campaign_Member,2023-07-01
00vEc000000jeIvIAI,,701Ec00000GJDl7IAH,,003Ec00000Cz31QIAR,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Ms.,Amanda Garcia,Amanda,Garcia,,4657 Teresa Wall,Millerburgh,ND,54359,US,amanda.garcia@example.com,3767972409,,,,,,,,,Contact,003Ec00000Cz31QIAR,005Ec000004oBPNIA2,Campaign_Member,2023-07-01
00vEc000000jeIxIAI,,701Ec00000GJDl7IAH,,003Ec00000Cz31kIAB,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Ms.,Emily Pearson,Emily,Pearson,,124 Fuller Summit Apt. 722,East Saraburgh,AR,8109,US,emily.pearson@example.com,3927807933,,,,,,,,,Contact,003Ec00000Cz31kIAB,005Ec000004oBPNIA2,Campaign_Member,2023-07-15
00vEc000000jeJJIAY,,701Ec00000GJDl7IAH,,003Ec00000Cz312IAB,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Mrs.,Steven Leonard,Steven,Leonard,,0227 Fernandez Ford,New Morganfurt,DC,58896,US,steven.leonard@example.com,4005836984,,,,,,,,,Contact,003Ec00000Cz312IAB,005Ec000004oBPNIA2,Campaign_Member,2023-07-05
00vEc000000jeJYIAY,,701Ec00000GJDl7IAH,,003Ec00000Cz31ZIAR,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Ms.,Jennifer Boyle,Jennifer,Boyle,,5447 Jamie Underpass Suite 072,North Nicole,AR,1825,US,jennifer.boyle@example.com,3202117806,,,,,,,,,Contact,003Ec00000Cz31ZIAR,005Ec000004oBPNIA2,Campaign_Member,2023-07-03
00vEc000000jeIhIAI,,701Ec00000GJDl8IAH,00QEc00000BBaesMAD,,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Ms.,Jeffrey Peterson,Jeffrey,Peterson,,5570 Hughes Junctions,Jacksonchester,FL,63833,US,jeffrey.peterson@example.com,5114912051,,,,,,,Cold Call,001Ec00000GINb1IAH,Lead,00QEc00000BBaesMAD,005Ec000004oBPNIA2,Campaign_Member,2023-08-07
00vEc000000jeIoIAI,,701Ec00000GJDl8IAH,00QEc00000BBaeiMAD,,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Mr.,Dana Johnson,Dana,Johnson,,7713 Swanson Wells Suite 032,North Matthew,MA,23823,US,dana.johnson@example.com,9590587572,,,,,,,Referral,001Ec00000GINb1IAH,Lead,00QEc00000BBaeiMAD,005Ec000004oBPNIA2,Campaign_Member,2023-07-22
00vEc000000jeIyIAI,,701Ec00000GJDl8IAH,00QEc00000BBaf3MAD,,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Mr.,Andrew Henderson,Andrew,Henderson,,4079 Rhodes Road,East Waltertown,SC,54682,US,andrew.henderson@example.com,5456793107,,,,,,,Online Form,001Ec00000GINb1IAH,Lead,00QEc00000BBaf3MAD,005Ec000004oBPNIA2,Campaign_Member,2023-08-10
00vEc000000jeJ0IAI,,701Ec00000GJDl8IAH,,003Ec00000Cz30dIAB,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Ms.,Michael Shah,Michael,Shah,,0165 Weaver Mountains Apt. 140,Davidfurt,MA,38866,US,michael.shah@example.com,9515602625,,,,,,,,,Contact,003Ec00000Cz30dIAB,005Ec000004oBPNIA2,Campaign_Member,2023-08-05
00vEc000000jeJ5IAI,,701Ec00000GJDl8IAH,,003Ec00000Cz31DIAR,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Dr.,Stephen Hall,Stephen,Hall,,8378 Martinez Junctions Apt. 556,North Hunterberg,KY,32995,US,stephen.hall@example.com,2621675889,,,,,,,,,Contact,003Ec00000Cz31DIAR,005Ec000004oBPNIA2,Campaign_Member,2023-08-03
00vEc000000jeJ9IAI,,701Ec00000GJDl8IAH,00QEc00000BBaf8MAD,,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Mr.,Anne Lopez,Anne,Lopez,,578 Chad Villages Suite 849,Port Aprilfort,LA,87543,US,anne.lopez@example.com,141150363,,,,,,,Cold Call,001Ec00000GINb1IAH,Lead,00QEc00000BBaf8MAD,005Ec000004oBPNIA2,Campaign_Member,2023-08-11
00vEc000000jeJBIAY,,701Ec00000GJDl8IAH,00QEc00000BBaf9MAD,,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Dr.,Derrick Munoz,Derrick,Munoz,,64809 Audrey Curve Apt. 647,Stephanieville,AR,77567,US,derrick.munoz@example.com,8891232175,,,,,,,Cold Call,001Ec00000GINb1IAH,Lead,00QEc00000BBaf9MAD,005Ec000004oBPNIA2,Campaign_Member,2023-08-08
00vEc000000jeJDIAY,,701Ec00000GJDl8IAH,,003Ec00000Cz30yIAB,Sent,,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,005Ec000004oBPNIA2,2024-01-23T02:46:47.000+0000,,Mr.,Daniel Franklin,Daniel,Franklin,,261 Carroll Passage Suite 163,Morrisland,MI,25251,US,daniel.franklin@example.com,2281792412,,,,,,,,,Contact,003Ec00000Cz30yIAB,005Ec000004oBPNIA2,Campaign_Member,2023-08-12
