Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Phone,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,IndividualId,External_id__c,Branch__c,Home_Phone__c,Gender__c
00QEc00000BBaeXMAT,,,Lee,William,Mr.,William Lee,,001Ec00000GINb1IAH,84011 Porter Springs Suite 653,East Kellyburgh,ME,11709,US,,,,"{""city"":""East Kellyburgh"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""11709"",""state"":""ME"",""street"":""84011 Porter Springs Suite 653""}",8683896283,william.lee@example.com,,/services/images/photo/00QEc00000BBaeXMAT,,Online Form,Qualified,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,,,,,,,,,,,crm_lead_0,a00Ec000009WFuqIAG,9667318696,male
00QEc00000BBaeYMAT,,,Freeman,Patrick,Mrs.,Patrick Freeman,,001Ec00000GINb1IAH,63525 Larson Rue,North Meganhaven,MN,89271,US,,,,"{""city"":""North Meganhaven"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""89271"",""state"":""MN"",""street"":""63525 Larson Rue""}",7744098360,patrick.freeman@example.com,,/services/images/photo/00QEc00000BBaeYMAT,,Cold Call,New,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-23T17:49:49.000+0000,2023-03-29,,,,,,,,,,crm_lead_1,a00Ec000009WFusIAG,1549070225,male
00QEc00000BBaeZMAT,,,Gonzalez,Michael,Mr.,Michael Gonzalez,,001Ec00000GINb1IAH,178 Nicole Cliffs,South Ronald,FM,21955,US,,,,"{""city"":""South Ronald"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""21955"",""state"":""FM"",""street"":""178 Nicole Cliffs""}",8191161473,michael.gonzalez@example.com,,/services/images/photo/00QEc00000BBaeZMAT,,Online Form,New,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,,,,,,,,,,,crm_lead_2,a00Ec000009WFuqIAG,9445157958,male
00QEc00000BBaeaMAD,,,Castillo,Leslie,Ms.,Leslie Castillo,,001Ec00000GINb1IAH,065 Martin Mount Suite 317,Tanyabury,FL,60701,US,,,,"{""city"":""Tanyabury"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60701"",""state"":""FL"",""street"":""065 Martin Mount Suite 317""}",4753089392,leslie.castillo@example.com,,/services/images/photo/00QEc00000BBaeaMAD,,Cold Call,New,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-23T17:49:49.000+0000,2022-11-19,,,,,,,,,,crm_lead_3,a00Ec000009WFurIAG,2025058073,female
00QEc00000BBaebMAD,,,Jones,Bobby,Mr.,Bobby Jones,,001Ec00000GINb1IAH,485 Mclaughlin Lane Suite 606,Moralesmouth,CO,86226,US,,,,"{""city"":""Moralesmouth"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""86226"",""state"":""CO"",""street"":""485 Mclaughlin Lane Suite 606""}",2883022772,bobby.jones@example.com,,/services/images/photo/00QEc00000BBaebMAD,,Cold Call,Qualified,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,,,,,,,,,,,crm_lead_4,a00Ec000009WFupIAG,1084421380,male
00QEc00000BBaecMAD,,,Green,Parker,Mrs.,Parker Green,,001Ec00000GINb1IAH,478 Vanessa Crossroad Apt. 247,South David,OR,21680,US,,,,"{""city"":""South David"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""21680"",""state"":""OR"",""street"":""478 Vanessa Crossroad Apt. 247""}",9359222874,parker.green@example.com,,/services/images/photo/00QEc00000BBaecMAD,,Online Form,Qualified,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-23T17:49:49.000+0000,2023-09-09,,,,,,,,,,crm_lead_5,a00Ec000009WFuqIAG,8451844428,male
00QEc00000BBaedMAD,,,Smith,Nicholas,Ms.,Nicholas Smith,,001Ec00000GINb1IAH,41587 Davis Prairie,East Jenniferhaven,TX,34235,US,,,,"{""city"":""East Jenniferhaven"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""34235"",""state"":""TX"",""street"":""41587 Davis Prairie""}",6259182403,nicholas.smith@example.com,,/services/images/photo/00QEc00000BBaedMAD,,Cold Call,Working,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,,,,,,,,,,,crm_lead_6,a00Ec000009WFuqIAG,5062329261,male
00QEc00000BBaeeMAD,,,Bell,Linda,Mr.,Linda Bell,,001Ec00000GINb1IAH,05044 Samantha Route,West Nicholasmouth,FM,35410,US,,,,"{""city"":""West Nicholasmouth"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""35410"",""state"":""FM"",""street"":""05044 Samantha Route""}",1827527564,linda.bell@example.com,,/services/images/photo/00QEc00000BBaeeMAD,,Cold Call,Qualified,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-23T17:49:49.000+0000,2023-09-14,,,,,,,,,,crm_lead_7,a00Ec000009WFusIAG,1421746486,female
00QEc00000BBaefMAD,,,Moore,Jose,Dr.,Jose Moore,,001Ec00000GINb1IAH,3002 Molly Walks,Meghanhaven,ID,71388,US,,,,"{""city"":""Meghanhaven"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""71388"",""state"":""ID"",""street"":""3002 Molly Walks""}",2380587017,jose.moore@example.com,,/services/images/photo/00QEc00000BBaefMAD,,Online Form,Qualified,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-23T17:49:49.000+0000,2023-05-30,,,,,,,,,,crm_lead_8,a00Ec000009WFupIAG,5051243944,male
00QEc00000BBaegMAD,,,Richmond,Holly,Mrs.,Holly Richmond,,001Ec00000GINb1IAH,83487 Susan Lights,New Kristenmouth,ND,67408,US,,,,"{""city"":""New Kristenmouth"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""67408"",""state"":""ND"",""street"":""83487 Susan Lights""}",4263687513,holly.richmond@example.com,,/services/images/photo/00QEc00000BBaegMAD,,Referral,Working,,,,,005Ec000004oBPNIA2,,,,,,1,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-22T20:36:47.000+0000,005Ec000004oBPNIA2,2024-01-23T17:49:49.000+0000,2022-12-19,,,,,,,,,,crm_lead_9,a00Ec000009WFusIAG,9143448289,female
